opeid6,name,VA_earnings,VA_condearnings,VA_emp,VA_gainfulemp
41438,Woodland Community College,8485.0693,3825.7976,.15963133,.25738931
41442,Career Development Institute Inc,5003.3584,124.92084,.15188684,.16404381
41444,Academy of Hair Design-Oklahoma City,-21.373604,-4405.1206,.11889066,.035472021
41448,International Academy of Style,-225.96284,-4575.8267,.10636076,.039030697
41452,Transformed Barber and Cosmetology Academy,-1071.8706,-5707.1851,.11309013,.016607571
41454,Oxford Academy of Hair Design Inc,7.595448,-4410.5972,.11757533,.038309179
41455,Skin Science Institute,-1125.3936,-5870.9766,.11296855,.019215703
41456,International College of Cosmetology,-322.36252,-4826.269,.10917722,.032875441
41457,Paul Mitchell the School-Springfield,-443.65884,-4905.6504,.10913154,.062238358
41458,Pulse Beauty Academy,-1350.923,-5990.4907,.10928268,.044382229
41459,Celebrity School of Beauty,425.07288,-4424.6885,.12450728,.060375445
41460,National Career College,5353.6372,443.9346,.15904267,.17122607
41463,Fred K Marchman Technical College,7736.2837,3687.938,.15270194,.2122495
41466,360 Degrees Beauty Academy,-1020.2062,-5636.5991,.11176719,.010918383
41467,Aviation Institute of Maintenance-Houston,3665.9636,-108.37675,.12313144,.14999716
41468,South Texas Training Center,4415.3081,-282.76453,.14983018,.1662439
41470,Paul Mitchell the School-Atlanta,-398.86636,-4665.9419,.1169806,.05514754
41471,Tricoci University of Beauty Culture-Libertyville,-1601.9672,-6162.1045,.10439719,.039877575
41472,Tricoci University of Beauty Culture-Bridgeview,-1599.8381,-6162.5938,.1043909,.039910939
41473,Tricoci University of Beauty Culture-Glendale Heights,-1604.4003,-6161.5449,.10440437,.039839447
41474,Tricoci University of Beauty Culture-Peoria,-1599.8381,-6162.5938,.1043909,.039910939
41475,Tricoci University of Beauty Culture-Rockford,-1599.8381,-6162.5938,.1043909,.039910939
41477,Lake Lanier School of Massage,4258.3628,-672.40344,.1528208,.14348738
41478,Rose Training Institute,3551.6448,-1394.6073,.15443601,.15094964
41480,New Life Business Institute,5079.3643,166.93784,.15263632,.16057912
41482,Beyond 21st Century Beauty Academy,-987.14667,-5531.3242,.1069,.019954856
41484,European Academy of Cosmetology and Hairdressing,-53.055336,-4443.728,.10904957,.041633055
41485,Medical Institute of Palm Beach,4952.1582,-23.335682,.15084508,.16311422
41487,American Institute of Interior Design,2771.9624,-1877.0844,.11934305,.1063417
41488,CenterPoint Massage and Shiatsu Therapy School and Clinic,5136.9385,277.3349,.14874588,.16891551
41489,Northern California Institute of Cosmetology Inc,-1565.925,-6168.5635,.11219345,.030987522
41491,Paul Mitchell the School-Cincinnati,-1589.881,-6125.4287,.11067431,.033451561
41492,Paul Mitchell the School-Birmingham,-1627.2513,-6040.333,.10354789,.031308569
41493,Park West Barber School,-68.63768,-4692.4272,.11871027,.039121453
41495,A & W Healthcare Educators,5410.9502,429.02118,.15513341,.17185605
41496,GP Institute of Cosmetology,1294.5891,-3718.6772,.13256702,.057237089
41497,Homestead Schools,5122.8716,295.9729,.14979966,.17134452
41498,Somerset County Technology Center,7365.1494,4232.2158,.14390337,.19800143
41499,Profile Institute of Barber-Styling,-954.03918,-5537.583,.10539677,.023197321
41500,Central Nursing College,6163.2583,1237.9137,.15619369,.19327825
41501,Golden State College of Court Reporting,4301.5498,172.85577,.12978554,.13124439
41505,Preferred College of Nursing-Los Angeles,4604.6973,-530.74353,.14869587,.15960506
41506,D & L Academy of Hair Design,234.46603,-4014.0632,.11675055,.062632784
41508,Immokalee Technical College,6567.3198,2799.4314,.13270609,.20643295
41511,Summit Salon & Beauty School,-460.22656,-5215.9282,.12210354,.028259404
41512,The Salon Professional Academy-Tonawanda,-942.64862,-5521.4146,.11516624,.016628377
41514,Vanity School of Cosmetology,1099.7529,-3171.0259,.11405241,.057621639
41515,American Academy of Cosmetology,-1007.5039,-5718.6821,.11426154,.018187789
41516,My Le's Beauty College,-1071.8706,-5707.1851,.11309013,.016607571
41517,Bella Capelli Academy,-647.10126,-5220.9585,.10816466,.02926025
41518,The Temple-A Paul Mitchell Partner School,118.74586,-4267.7485,.11099999,.042321138
41521,Toledo Restaurant Training Center,412.98093,-4338.9707,.13447693,.04716504
41523,Georgia Beauty Academy,-1059.0175,-5749.5957,.10673939,.023424421
41524,International Institute of Cosmetology,-1059.4418,-5737.9883,.11153927,.021118443
41527,Astrodome Career Centers,4804.4106,-3.9505727,.15138341,.14841905
41528,Paul Mitchell the School-Sacramento,-1565.985,-6150.2368,.11268858,.036417644
41529,Studio Academy of Beauty,-1505.157,-5949.5679,.10448418,.036798846
41532,Southern Worcester County Regional Voc School District,9005.8389,4855.438,.16438206,.23654917
41533,Paul Mitchell the School-Columbus,29.387465,-4212.6738,.10904693,.067653432
41540,Tolles Career and Technical Center,9798.0439,5694.5713,.17151617,.25089195
41544,Franklin Career College,3378.2493,-1116.2678,.13916306,.15020311
41545,Starting Points Inc,2226.25,-2189.7791,.1180512,.085827745
41548,DuVall's School of Cosmetology,-1050.0537,-5718.1143,.10676618,.022908341
41549,National Career Institute,4733.6724,173.75273,.1480675,.15855213
41551,Institute of Medical Careers,4564.1011,-86.193733,.15261678,.15822691
41552,Oliver Finley Academy of Cosmetology,73.657257,-4193.9243,.11617317,.059393343
41553,Onondaga School of Therapeutic Massage-Syracuse,4951.0171,-281.87418,.15745686,.15956821
41558,Advanced Beauty College,-860.03101,-5415.9238,.11492119,.019501433
41559,Aveda Fredric's Institute-Indianapolis,-856.30115,-5708.5464,.1228804,.043463983
41560,Academy of Cosmetology and Esthetics NYC,-325.87341,-4682.7271,.11676512,.056291442
41561,Toni & Guy Hairdressing Academy-Modesto,-755.59747,-5246.4028,.11533029,.050942522
41562,Institute of Advanced Medical Esthetics,-778.15186,-5410.5845,.12246905,.012854293
41564,Aviation Institute of Maintenance-Orlando,3505.6619,-288.35464,.12255257,.14676566
41572,Love Beauty School Inc,-1015.6416,-5504.6294,.11538173,.015484476
41575,Access Careers,3463.2583,-1347.1207,.13658783,.11624364
41576,Nova Academy of Cosmetology,-1039.5692,-5686.9824,.10678849,.022416094
41577,The Salon Professional Academy-Onalaska,1844.149,-2768.9824,.12755424,.082745709
41580,Metro Beauty Academy,487.40637,-4261.0977,.12971093,.056183003
41581,Aiken School of Cosmetology and Barbering,-987.14667,-5531.3242,.1069,.019954856
41582,Paul Mitchell the School-Sherman Oaks,304.44498,-4145.4595,.11123819,.079676196
41583,Flagler Technical Institute,7093.7173,3147.1743,.15653904,.19743401
41584,L'esprit Academy,-1155.7988,-5759.1177,.11463949,.014566512
41585,Texas Beauty College,-1578.923,-5967.2603,.1111877,.024162607
41587,Hollywood Beauty College,-974.9812,-5534.1216,.10686408,.020145506
